Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Hour
5,0,1,5,0,2,13,2,3,2,2,4,5,0,0,3,2,6,2.8447012382354724,3.427386968074832,2,0,1,0,2,5,10,10
4,1,1,4,0,2,4,2,1,2,2,5,1,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,2,0,1,0,2,5,10,15
2,1,1,4,0,2,3,2,1,8,4,5,1,0,3,3,2,6,1.3928202366148152,-0.5442638586190858,6,0,1,0,2,5,12,9
1,1,1,4,0,2,0,2,3,6,4,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,5,20
5,1,1,4,0,2,0,2,1,6,5,7,5,0,0,3,2,6,1.3928202366148152,1.4415615547278733,2,1,0,4,2,5,5,8
2,0,1,4,1,2,8,2,1,2,4,5,5,0,3,3,2,2,-0.059060765005841856,1.4415615547278733,2,0,1,0,2,5,11,13
6,0,1,1,0,3,0,2,3,6,1,5,0,0,0,3,2,2,-0.059060765005841856,1.4415615547278733,2,1,0,3,2,5,3,18
2,1,1,4,0,4,5,2,1,6,5,7,5,0,0,0,2,2,-0.059060765005841856,-0.5442638586190858,3,0,0,0,2,5,3,22
1,2,1,1,0,0,0,2,1,6,0,5,5,0,3,3,3,6,2.8447012382354724,-0.5442638586190858,2,0,1,0,2,5,3,16
5,1,1,4,0,2,7,2,1,8,4,5,5,0,3,0,2,5,-1.510941766626499,0.44864884805439376,6,0,1,2,2,5,2,20
0,0,0,4,0,3,5,2,1,6,2,5,1,0,0,3,2,1,1.3928202366148152,-0.5442638586190858,2,0,1,0,2,5,10,11
